,cell_type,regulon,Z
5190,Trm-Prog2_XCL1,Regulon(HSF1(+)),0.2313636999015366
4743,Trm-Prog1_ZNF683,Regulon(ETV3(+)),0.23131346459053245
1242,Tc17_CEBPD,Regulon(ETV3(+)),0.23118605319554225
4866,Trm-Prog1_ZNF683,Regulon(NFKB1(+)),0.22997521615203725
1631,Tcm1_ANXA1,Regulon(ETV3(+)),0.22982209651674945
1962,Tcm2_IL7R,Regulon(BCLAF1(+)),0.22967157293354667
6555,Trm3_TGFBR2,Regulon(ZFP62(+)),0.2295411114790247
4907,Trm-Prog1_ZNF683,Regulon(RB1(+)),0.2295261415192329
3168,Trm-Exh1_VCAM1,Regulon(EGR2(+)),0.22943014967047518
3930,Trm-Exh3_CCL4,Regulon(CRX(+)),0.22939763885830453
5334,Trm-Prog2_XCL1,Regulon(SP2(+)),0.22922392905157024
3966,Trm-Exh3_CCL4,Regulon(ETV5(+)),0.22881719770731157
1301,Tc17_CEBPD,Regulon(IKZF1(+)),0.22877359397995015
2232,Tcm2_IL7R,Regulon(STAT3(+)),0.22876881261973694
1239,Tc17_CEBPD,Regulon(ETS2(+)),0.2277774926101773
3188,Trm-Exh1_VCAM1,Regulon(ETV5(+)),0.22772262739495808
5749,Trm1_GZMH,Regulon(TFAP4(+)),0.22767141356290999
6271,Trm3_TGFBR2,Regulon(DEAF1(+)),0.22752303976891436
6300,Trm3_TGFBR2,Regulon(ETV5(+)),0.22722729364925992
5654,Trm1_GZMH,Regulon(NR2C1(+)),0.2268785316018037
1391,Tc17_CEBPD,Regulon(POLR2A(+)),0.226841578280585
4990,Trm-Prog1_ZNF683,Regulon(YY1(+)),0.22670650282533739
3712,Trm-Exh2_CXCL13,Regulon(NR3C1(+)),0.22620374280468364
4374,Trm-Exh4_TOX2,Regulon(FOXP1(+)),0.22617698468125574
5489,Trm1_GZMH,Regulon(CTNNB1(+)),0.22612413911364831
6473,Trm3_TGFBR2,Regulon(RFXANK(+)),0.2259101321362802
2040,Tcm2_IL7R,Regulon(FOXP1(+)),0.22553784142982697
1966,Tcm2_IL7R,Regulon(BPTF(+)),0.2253929447188582
1697,Tcm1_ANXA1,Regulon(IRF7(+)),0.224927268205451
45,Cycling-G2/M_TOP2A,Regulon(DBX1(+)),0.22475064497600972
4187,Trm-Exh3_CCL4,Regulon(TCF7(+)),0.22380666492560575
5929,Trm2_TNFSF9,Regulon(FOXO3(+)),0.2234373797298896
4329,Trm-Exh4_TOX2,Regulon(E2F3(+)),0.2233485283183681
6083,Trm2_TNFSF9,Regulon(RFX8(+)),0.2229450208411842
1680,Tcm1_ANXA1,Regulon(HOXA4(+)),0.2220988331154829
3014,Treg_FOXP3,Regulon(TAF7(+)),0.22197244818434284
1563,Tcm1_ANXA1,Regulon(ATF3(+)),0.2211522543888925
5119,Trm-Prog2_XCL1,Regulon(ELK1(+)),0.22070623400057307
5169,Trm-Prog2_XCL1,Regulon(HEY1(+)),0.2204112466362749
6612,Trm3_TGFBR2,Regulon(ZSCAN2(+)),0.2201830331800189
1743,Tcm1_ANXA1,Regulon(MYC(+)),0.22012538384514221
